spot_id,stake_label,pot_type,spot_name,opportunities,bet_pct,check_pct,fold_pct,call_pct,raise_pct,no_response_pct,avg_size_pct,avg_facing_size_pct,raw_action_counts,benchmark_flag,leak_note,benchmark_metric,benchmark_low,benchmark_high,deviation_pp,confidence,exploit_score
DELAYED_CBET_IP,PL100,3bet,Delayed c-bet frequency by PFA IP,31,29.0,71.0,0.0,0.0,0.0,0.0,60.4,,"{""check"": 22, ""bet"": 9}",LOW,PFA IP under-delays after checking back flop,bet_pct,35.0,65.0,-6.0,LOW,2.4
DELAYED_CBET_IP,PL100,4bet+,Delayed c-bet frequency by PFA IP,1,0.0,100.0,0.0,0.0,0.0,0.0,,,"{""check"": 1}",low_sample,sample below min-sample,bet_pct,35.0,65.0,-35.0,IGNORE,3.5
DELAYED_CBET_IP,PL100,srp,Delayed c-bet frequency by PFA IP,142,45.1,54.9,0.0,0.0,0.0,0.0,59.4,,"{""check"": 78, ""bet"": 64}",OK,inside benchmark band,bet_pct,35.0,65.0,0.0,MEDIUM,0.0
DELAYED_CBET_IP,PL25,3bet,Delayed c-bet frequency by PFA IP,60,45.0,55.0,0.0,0.0,0.0,0.0,54.8,,"{""bet"": 27, ""check"": 33}",OK,inside benchmark band,bet_pct,35.0,65.0,0.0,LOW,0.0
DELAYED_CBET_IP,PL25,4bet+,Delayed c-bet frequency by PFA IP,2,0.0,100.0,0.0,0.0,0.0,0.0,,,"{""check"": 2}",low_sample,sample below min-sample,bet_pct,35.0,65.0,-35.0,IGNORE,3.5
DELAYED_CBET_IP,PL25,srp,Delayed c-bet frequency by PFA IP,355,36.9,63.1,0.0,0.0,0.0,0.0,62.7,,"{""check"": 224, ""bet"": 131}",OK,inside benchmark band,bet_pct,35.0,65.0,0.0,HIGH,0.0
DELAYED_CBET_IP,PL50,3bet,Delayed c-bet frequency by PFA IP,121,44.6,55.4,0.0,0.0,0.0,0.0,60.5,,"{""bet"": 54, ""check"": 67}",OK,inside benchmark band,bet_pct,35.0,65.0,0.0,MEDIUM,0.0
DELAYED_CBET_IP,PL50,4bet+,Delayed c-bet frequency by PFA IP,7,57.1,42.9,0.0,0.0,0.0,0.0,61.7,,"{""bet"": 4, ""check"": 3}",low_sample,sample below min-sample,bet_pct,35.0,65.0,0.0,IGNORE,0.0
DELAYED_CBET_IP,PL50,srp,Delayed c-bet frequency by PFA IP,632,42.2,57.8,0.0,0.0,0.0,0.0,60.7,,"{""bet"": 267, ""check"": 365}",OK,inside benchmark band,bet_pct,35.0,65.0,0.0,HIGH,0.0
DELAYED_CBET_OOP,PL100,3bet,Delayed c-bet frequency by PFA OOP,39,46.2,53.8,0.0,0.0,0.0,0.0,70.4,,"{""bet"": 18, ""check"": 21}",OK,inside benchmark band,bet_pct,35.0,65.0,0.0,LOW,0.0
DELAYED_CBET_OOP,PL100,4bet+,Delayed c-bet frequency by PFA OOP,1,0.0,100.0,0.0,0.0,0.0,0.0,,,"{""check"": 1}",low_sample,sample below min-sample,bet_pct,35.0,65.0,-35.0,IGNORE,3.5
DELAYED_CBET_OOP,PL100,srp,Delayed c-bet frequency by PFA OOP,112,42.0,58.0,0.0,0.0,0.0,0.0,58.9,,"{""check"": 65, ""bet"": 47}",OK,inside benchmark band,bet_pct,35.0,65.0,0.0,MEDIUM,0.0
DELAYED_CBET_OOP,PL25,3bet,Delayed c-bet frequency by PFA OOP,89,44.9,55.1,0.0,0.0,0.0,0.0,55.9,,"{""bet"": 40, ""check"": 49}",OK,inside benchmark band,bet_pct,35.0,65.0,0.0,LOW,0.0
DELAYED_CBET_OOP,PL25,srp,Delayed c-bet frequency by PFA OOP,266,36.8,62.8,0.4,0.0,0.0,0.0,64.5,,"{""bet"": 98, ""check"": 167, ""fold"": 1}",OK,inside benchmark band,bet_pct,35.0,65.0,0.0,MEDIUM,0.0
DELAYED_CBET_OOP,PL50,3bet,Delayed c-bet frequency by PFA OOP,188,52.1,47.9,0.0,0.0,0.0,0.0,60.7,,"{""bet"": 98, ""check"": 90}",OK,inside benchmark band,bet_pct,35.0,65.0,0.0,MEDIUM,0.0
DELAYED_CBET_OOP,PL50,4bet+,Delayed c-bet frequency by PFA OOP,7,57.1,42.9,0.0,0.0,0.0,0.0,58.9,,"{""bet"": 4, ""check"": 3}",low_sample,sample below min-sample,bet_pct,35.0,65.0,0.0,IGNORE,0.0
DELAYED_CBET_OOP,PL50,srp,Delayed c-bet frequency by PFA OOP,501,40.9,59.1,0.0,0.0,0.0,0.0,65.2,,"{""bet"": 205, ""check"": 296}",OK,inside benchmark band,bet_pct,35.0,65.0,0.0,HIGH,0.0
FOLD_TO_DELAYED_CBET_IP,PL100,3bet,"Fold/call/raise vs delayed c-bet, responder IP",19,0.0,0.0,42.1,47.4,10.5,0.0,58.0,71.3,"{""raise_or_allin"": 2, ""fold"": 8, ""call"": 9}",low_sample,sample below min-sample,fold_pct,35.0,60.0,0.0,IGNORE,0.0
FOLD_TO_DELAYED_CBET_IP,PL100,srp,"Fold/call/raise vs delayed c-bet, responder IP",47,0.0,0.0,44.7,42.6,12.8,0.0,59.6,63.2,"{""call"": 20, ""fold"": 21, ""raise_or_allin"": 6}",OK,inside benchmark band,fold_pct,35.0,60.0,0.0,LOW,0.0
FOLD_TO_DELAYED_CBET_IP,PL25,3bet,"Fold/call/raise vs delayed c-bet, responder IP",45,0.0,0.0,48.9,46.7,4.4,0.0,42.0,60.0,"{""call"": 21, ""fold"": 22, ""raise_or_allin"": 2}",OK,inside benchmark band,fold_pct,35.0,60.0,0.0,LOW,0.0
